index,zipCode,PovertyEst,avgAnnCount,avgDeathsPerYear,deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyCount,studyPerCap,binnedInc
82,1229,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(54545.6, 61494.5]"
83,1230,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(61494.5, 125635]"
84,1235,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(34218.1, 37413.8]"
85,1236,16037,860.0,313,157.0,464.3,49890,127828,13.0,4,31.29204869,"[22640, 34218.1]"
86,1237,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(42724.4, 45201]"
87,1238,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(48021.6, 51046.4]"
88,1240,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(37413.8, 40362.7]"
89,1242,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(45201, 48021.6]"
90,1243,20809,715.0,291,164.4,415.4,57737,161292,15.0,0,0.0,"(54545.6, 61494.5]"
91,1244,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"[22640, 34218.1]"
92,1245,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(51046.4, 54545.6]"
93,1247,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(37413.8, 40362.7]"
94,1253,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(34218.1, 37413.8]"
95,1254,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(45201, 48021.6]"
96,1255,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(48021.6, 51046.4]"
97,1256,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(37413.8, 40362.7]"
98,1257,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(42724.4, 45201]"
99,1258,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(37413.8, 40362.7]"
100,1259,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(34218.1, 37413.8]"
101,1260,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(34218.1, 37413.8]"
102,1262,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(37413.8, 40362.7]"
103,1264,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(54545.6, 61494.5]"
104,1266,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(37413.8, 40362.7]"
105,1267,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"[22640, 34218.1]"
106,1270,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(37413.8, 40362.7]"
107,1301,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(34218.1, 37413.8]"
108,1330,8397,387.0,149,153.9,413.9,53953,70601,12.0,6,84.98463195,"[22640, 34218.1]"
109,1331,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(37413.8, 40362.7]"
110,1337,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"[22640, 34218.1]"
111,1338,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(40362.7, 42724.4]"
112,1339,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(42724.4, 45201]"
113,1340,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(37413.8, 40362.7]"
114,1341,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(40362.7, 42724.4]"
115,1342,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(42724.4, 45201]"
116,1343,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(42724.4, 45201]"
117,1344,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(34218.1, 37413.8]"
118,1346,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(37413.8, 40362.7]"
119,1347,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"[22640, 34218.1]"
120,1349,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"[22640, 34218.1]"
121,1350,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(34218.1, 37413.8]"
122,1351,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(51046.4, 54545.6]"
123,1354,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(40362.7, 42724.4]"
124,1355,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"[22640, 34218.1]"
125,1360,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(40362.7, 42724.4]"
126,1364,8397,387.0,149,153.9,413.9,53953,70601,12.0,0,0.0,"(45201, 48021.6]"
