index,zipCode,zipCount
439,30308,54
440,92037,54
441,45601,54
442,31404,54
443,59601,54
444,45219,54
445,33308,54
446,20089,54
447,48124,54
448,5505,54
449,11570,54
450,44304,54
451,54311,54
452,43081,54
453,44109,54
454,6050,54
455,18711,54
456,32256,53
457,81377,53
458,80539,53
459,89074,53
460,85719,53
461,85704,53
462,60590,53
463,21237,53
464,44060,53
465,13273,53
466,54501,53
467,45750,52
468,68106,52
469,98370,52
470,15006,52
471,47374,52
472,49017,52
473,61443,52
474,43222,52
475,33701,52
476,94596,52
477,44870,52
478,19611,52
479,95119,52
480,64239,52
481,43606,52
482,70006,51
483,16801,51
484,29672,51
485,53215,51
486,99218,51
487,84106,51
488,97015,51
489,84403,51
490,3080,51
491,49684,51
492,44111,51
493,19001,51
494,5401,50
495,71103,50
496,62864,50
497,20162,50
498,18201,50
499,54868,50
500,30501,50
501,28791,50
502,45505,50
503,83712,50
504,80033,50
505,27705,50
506,99204,50
507,96819,50
508,43050,50
509,18015,49
510,34232,49
511,10043,49
512,43608,49
513,54235,49
514,85016,49
515,21205,49
516,46009,49
517,98112,49
518,44093,49
519,61462,49
520,49100,49
521,57701,49
522,80301,49
523,43228,49
524,56073,48
525,87102,48
526,80631,48
527,91120,48
528,23507,48
529,32504,48
530,27607,48
531,56303,48
532,99202,48
533,56601,48
534,29650,48
535,13385,48
536,91054,48
537,6102,48
538,43614,48
539,50316,48
540,59102,48
541,29621,48
542,94904,47
543,63109,47
544,76022,47
545,76508,47
546,45042,47
547,59701,47
548,40207,47
549,29572,47
550,45147,47
551,30033,47
552,80524,47
553,48334,47
554,78217,47
555,96766,47
556,10002,47
557,28033,46
558,33486,46
559,13353,46
560,60521,46
561,43205,46
562,11000,46
563,90806,46
564,6106,46
565,47905,46
566,49444,45
567,90403,45
568,54548,45
569,97701,45
570,83854,45
571,82801,45
572,54221,45
573,23230,45
574,97477,45
575,81004,45
576,48532,45
577,24105,45
578,10595,45
579,98372,44
580,90603,44
581,68131,44
582,94704,44
583,90024,44
584,48149,44
585,98225,44
586,83642,44
587,7960,43
588,97210,43
589,21921,43
590,68167,43
591,95823,43
592,161,43
593,52722,43
594,25030,43
595,45662,43
596,77555,43
597,4401,42
598,12206,42
599,11501,42
600,33081,42
601,15706,42
602,37916,42
603,90035,42
604,72401,42
605,45236,41
606,28501,41
607,49677,41
608,46026,41
609,37920,41
610,81301,41
611,33604,41
612,80122,41
613,52621,41
614,53705,41
615,71913,41
616,82414,41
617,33805,40
618,90025,40
619,6100,40
620,8208,40
621,29210,40
622,43617,40
623,62644,40
624,92120,40
625,34295,40
626,41100,40
